GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,138,2,9,1,32,2,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,34,227,4,9,8,62,4,10,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,78,0,6,0,29,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,3,60,1,3,1,24,2,13,1,12
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,68,187,3,3,20,48,4,5,1,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,8,98,2,2,3,26,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,23,2,7,2,4,2
